Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;151;16001;60916;2023/001348;2023/121348;FUENTES BEBEDERO EN EL DISTRITO HORTALEZA. INSTALACIÓN;216;HORTALEZA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;211,71;211,71;0;0;211,71;211,71;66,7;0;66,7;
;;001;151;16001;60916;2023/001348;2023/131348;FUENTES BEBEDERO EN EL DISTRITO VILLAVERDE. INSTALACIÓN;217;VILLAVERDE;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;909,56;909,56;0;0;909,56;909,56;286,58;0;286,58;
;;001;151;16001;60916;2023/001348;2023/141348;FUENTES BEBEDERO EN EL DISTRITO VILLA DE VALLECAS. INSTALACIÓN;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;1038,7;1038,7;0;0;1038,7;1038,7;327,27;0;327,27;
;;001;151;16001;60916;2023/001348;2023/151348;FUENTES BEBEDERO EN EL DISTRITO VICÁLVARO. INSTALACIÓN;219;VICALVARO;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;1702,18;1702,18;0;0;1702,18;1702,18;536,32;0;536,32;
;;001;151;16001;60916;2023/001348;2023/161348;FUENTES BEBEDERO EN EL DISTRITO SAN BLAS-CANILLEJAS. INSTALACIÓN;220;SAN BLAS-CANILLEJAS;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;279,7;279,7;0;0;279,7;279,7;88,12;0;88,12;
;;001;151;16001;60916;2023/001348;2023/171348;FUENTES BEBEDERO EN EL DISTRITO BARAJAS. INSTALACIÓN;221;BARAJAS;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;334,74;334,74;0;0;334,74;334,74;105,46;0;105,46;
;;001;151;16001;60916;2025/000393;2025/000393;FUENTES CONMEMORATIVAS DEL ESCUDO HISTÓRICO DE LA CIUDAD DE MADRID;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;1658,89;1658,89;1658,89;0;0;0;0;0;0;
;;001;151;16001;60916;2025/000393;2025/010393;FUENTE DUBHE, CONMEMORATIVA ESCUDO HISTÓRICO DE MADRID EN DISTRITO SAN BLAS-CANILLEJAS. INSTALACIÓN;220;SAN BLAS-CANILLEJAS;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;15637,91;15637,91;0;0;15637,91;15637,91;15637,91;0;15637,91;
;;001;151;16001;60916;2025/000393;2025/020393;FUENTE MERAK, CONMEMORATIVA ESCUDO HISTÓRICO DE MADRID EN DISTRITO VICÁLVARO. INSTALACIÓN;219;VICALVARO;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;;;;;;;0;15637,9;15637,9;0;0;15637,9;15637,9;15637,9;0;15637,9;
;;001;151;16001;60916;2025/000393;2025/030393;FUENTE PHECDA, CONMEMORATIVA ESCUDO HISTÓRICO DE MADRID EN DISTRITO PUENTE DE VALLECAS. INSTALACIÓN;213;PUENTE DE VALLECAS;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;9979,05;9979,05;0;0;9979,05;9979,05;0;0;0;
